,Date,User,Tweet
52,2022-06-16 18:02:05+00:00,GirlsinTech,"Have you heard? We are running intensive, hands-on, 3-day Design Thinking Bootcamps globally! 

The upcoming cities include:

Mexico City August 6 &amp; 7
New York August 20 &amp; 21

Register Today!👇
https://t.co/nAWaOd7fDv https://t.co/l1d1opv2iH"
53,2022-06-15 16:02:58+00:00,GirlsinTech,"Being vocal at work has always been a minefield for women. 

Data shows that the move to online and “hybrid” work has only made things worse. 

Here are 5 simple things leaders can do to support women at work to finding their own voice. ✨📢https://t.co/8IO4bJ1yEe"
54,2022-06-14 14:03:04+00:00,GirlsinTech,"We partnered with @pega for our global scholarship program that aims to support future technologists from underrepresented communities and promote diversity and inclusion. 

Register before June 20, and you could be selected to receive $1,500 !
https://t.co/WIE9Gya0Uq https://t.co/CjIgkrI7hI"
55,2022-06-12 10:00:51+00:00,GirlsinTech,"Sign up to make a difference amidst one of the biggest humanitarian crises happening in the world right now. 

It’s not too late to submit your application.
https://t.co/nAWaOd7fDv

#GirlsinTech #WeStandWithUkraine https://t.co/YcNfzYVe5U"
56,2022-06-12 00:00:38+00:00,GirlsinTech,"There’s so much more to the Public Sector than you may imagine. 

Register to attend our Evening with the Experts event on June 21 at @awscloud HQ, and learn all about exciting career opportunities in tech.

https://t.co/5BeXKoOXL1 https://t.co/XeNB0mtkGt"
57,2022-06-09 18:11:04+00:00,GirlsinTech,"It's no secret that the AI field has a diversity crisis. This woman is on a mission to change that. 

Мееt Belén Sánchez Hidalgo, a senior data scientist at 
@DataRobot who's passionate about getting more women into #AI &amp; #ML roles. 👏

https://t.co/bLPjszHLwW"
58,2022-06-07 16:03:12+00:00,GirlsinTech,"Check out our Girls in Tech Guide to the Metaverse: a comprehensive look into what the metaverse is and what it means for women in tech, with tips from Sandy Carter on how to kick-start your metaverse career.

Read the full article 👇
https://t.co/j3DMn8H5ic"
59,2022-06-06 16:02:41+00:00,GirlsinTech,"Solving big, technical problems requires a diversity of viewpoints, mindsets and experiences. A number of studies show that progress has been made to make tech more diverse. But it's not enough...

Here are some new fresh ideas on how to get to ""enough.""

https://t.co/Q2axmcmRnl"
60,2022-06-06 14:02:48+00:00,GirlsinTech,"Shake up your approach to work or boost your skillset with this exciting our Design Thinking Bootcamp on June 11 &amp; 12, Nashville! 
Over 2 days you’ll sharpen your design thinking skills and learn to look at ‘problems’ as ‘opportunities’. 

Register now - https://t.co/CpUAzFsdbZ https://t.co/mR3qLX9QZf"
61,2022-06-03 02:00:40+00:00,GirlsinTech,"Meet 4 women who are about to change your life… If you’re attending the Girls in Tech Conference on 7 September.

These fearless tech leaders are set to inspire conference attendees with their passionate keynotes. 

Get your Conference ticket now.
https://t.co/9qJT2U95VL https://t.co/OmQ9ABDSBm"
